Region,2023,2022,2021,2020,2019,2018,2017,2016,2015
Beijing  ,13.73,9.13,10.34,11.38,12.9,13.78,15.15,16.62,16.6
Tianjin  ,8.38,6.89,8.04,8.98,9.64,9.75,9.51,9.82,10.12
Hebei  ,37.11,30.21,33.71,37.49,42.13,45.87,50.49,55.19,60.94
Shanxi  ,20.59,18.19,22.33,21.58,25.5,27.85,28.77,30.01,34.68
Nei Menggu  ,14.24,11.46,13.21,14.17,16.18,17.69,18.7,19.84,21.79
Liaoning  ,22.84,19.09,21.44,22.43,25.56,28.08,29.19,31.26,31.7
Jilin  ,13.79,11.4,13.89,13.93,18.08,19.32,20.63,22.15,23.45
Heilongjiang  ,17.94,15.05,17.22,17.19,24.44,27.82,28.67,30.63,31.82
Shanghai  ,10.42,7.2,8.98,9.22,9.87,10.51,10.87,12.52,14.18
Jiangsu  ,45.28,41.2,46.7,49.24,56.94,63.77,67.55,71.61,78.6
Zhejiang  ,30.06,30.43,26.32,27.77,29.36,33.73,34.44,36.68,39.25
Anhui  ,35.54,33.89,42.05,47.18,54.16,61.91,67.38,71.34,73.91
Fujian  ,18.08,16.62,18.48,20.56,24.03,27.36,29.14,31.46,34.94
Jiangxi  ,22.16,21.04,24.38,27.24,28.87,33.06,28.91,30.2,30.62
Shandong  ,48.16,42.06,46.25,48.74,53.3,59.9,62.58,67.07,70.1
Henan  ,57.4,48.9,59.65,62.65,76.45,80.9,86.97,96.9,109.44
Hubei  ,29.33,28.43,31.56,31.53,38.93,43.78,47.21,51.38,57.3
Hunan  ,30.27,28.44,30.17,35.75,38.03,42.16,45.77,49.94,54.27
Guangdong  ,63.22,57.31,59.11,63.33,67.45,71.38,75.81,78.61,84.04
Guangxi  ,25.17,24.87,27.28,29.72,33.03,36.19,37.94,39.4,42.13
Hainan  ,5.69,5.14,6.01,6.12,6.56,7.27,7.58,7.83,8.31
Chongqing  ,18.37,17.4,19.68,21.09,23.83,25.88,26.6,27.85,29.26
Sichuan  ,48.02,46.39,51.16,53.65,61.32,66.9,68.95,72.71,74.15
Guizhou  ,29.46,29.38,29.28,31.76,36.24,40.03,40.36,45.32,49.26
Yunnan  ,28.81,27.38,29.98,32.79,35.92,37.76,40.28,44.61,45.82
Xizang  ,2.95,2.47,3.48,3.42,3.12,3.01,3.41,3.01,1.54
Shaanxi  ,23.5,20.04,22.1,23.62,27.19,30.04,30.06,33.24,35.6
Gansu  ,16.42,13.42,16.41,17.79,19.85,21.07,19.79,21.91,22.03
Qinghai  ,4.71,3.37,4.57,5.19,5.77,5.73,5.97,6.12,5.11
Ningxia  ,5.07,4.16,4.87,4.94,6.09,6.07,6.03,6.2,6.09
Xinjiang,21.51,12.53,15.63,13.88,16.59,15.37,18.39,21.41,27.66